ANP32A
BTG2
Bcl2
CDK2AP1
HNRPK
IL-12p35
JAG1
MEF2C
hMSH2
PDCD4
RECK
RhoB
SMARCA4
TGFBRII
SPRY1
SPRY2
TP63
Tropomyosin
