GPR64
FGF18
ARMCX1
FASLG
CCL1
AIM1L
IL12A
ZNF367
SPRY1
RNFT1
PELI1
YOD1
SMAD7
SRL
NTF3
DUSP8
ARHGAP24
ELF2
ZNF704
TGFBI
PLAG1
GRAMD3
HMGN2
SPRY2
GLIS2
FRAT1
RMND5A
SKI
PCBP1
PSRC1
BCL7A
PCBP2
PLEKHA1
HRK
PITX2
SOX5
STAG2
MAP2K3
FAM46A
KBTBD7
RSPO2
PSPC1
SRSF3
PPP1R3B
PPP1R3A
ACVR1C
PBRM1
PVRL3
CHIC1
ASF1A
KBTBD6
NFIB
CASKIN1
MAP3K1
MBLAC2
PCSK6
CPEB3
SKP2
ALX1
PAN3
OSR1
CNTFR
TMEM170A
JHDM1D
PAG1
MRPL49
XKR6
GLCCI1
MATN2
FBXO11
ZFP36L2
KLHL42
KRIT1
UNKL
SOWAHC
EPHA4
MAPK10
OLR1
JPH1
PDCD4
SOX2
KLF6
GATAD2B
NKX6-1
THRB
UBR3
CHD7
MIA3
GATA2
MSX1
CDC25A
NFIA
GPR125
SATB1
PURA
MPRIP
KIAA0087
ZSWIM6
SEC63
HS3ST1
CD97
FCHO2
CSRNP3
LEMD3
JAG1
EIF4EBP2
MBNL1
RECK
FBXO28
PCBD1
GLYR1
CBX4
IL6R
TAGAP
NYAP2
RALGPS2
EGR3
WWP1
BOLL
RASA1
KLHL15
HIPK3
PIK3R1
PPP3CA
LRRC57
KPNA4
NPAS3
GNG12
MYCL
CXCL10
CFL2
CREBRF
ADNP
IL6ST
BTG2
SNX29
DNAJA2
MYT1L
C11orf87
RDX
C16orf52
POC1B
STK40
RBPJ
SLMAP
KLF3
TNKS
BCL2
ACBD5
RHOB
SCML2
THBD
STAT3
SGMS2
ABCD2
ZKSCAN5
LCOR
ROR1
AP3M1
WNT2B
MCAM
TRIM33
PHF14
BAHD1
FAM63B
SMARCD1
CNOT6
DNAJB14
POM121C
RBMS3
NBEA
MSL1
PURB
CREBL2
NOTCH2
SOX7
KIAA1468
FRS2
CADM2
PURG
DNAJC16
KCNA1
DCUN1D3
PLD1
RASGRP1
TNRC6B
SPG20
PJA2
ACVR2A
CCDC171
TNS1
CDK6
TBX2
IFFO2
SUZ12
NIPBL
PAIP2B
TGFBR2
MTAP
ESYT2
ZADH2
PDZD2
UBR2
TIAM1
SLC30A10
FOXP1
FMN1
FOXP2
RASA2
BRWD3
RNF111
MRPL45
BCL11B
BNC2
PRPF4B
AGO2
TIMP3
TNPO1
MEGF9
RAB11A
EHD1
BMPR2
GID4
RNF24
HGF
CRIM1
MEF2C
FAM126B
VCL
SEMA3A
RAB22A
YAP1
FAM107B
TERF2
NFAT5
NAA50
HNRNPK
RPS6KA3
ARHGEF12
AP5M1
HNRNPU
FOXG1
TRAPPC8
RFFL
FTO
CD47
AKIRIN1
STRN
RAD51L3-RFFL
MTHFD1
PFKM
CADM1
CRLS1
CMC1
MAPK1
AP1AR
TRPM7
UBE2D3
